UNIDADE;TIPO
06ª VT DE FORTALEZA;VT
16ª VT DE FORTALEZA;VT
01ª VT DE MARACANAÚ;VT
11ª VT DE FORTALEZA;VT
09ª VT DE FORTALEZA;VT
CENTRO JUDICIARIO DE METODOS CONSENSUAIS DE SOLUÇOES DE DISPUTAS DE 1º GRAU;OUTROS
02ª VT DA REGIÃO DO CARIRI;VT
08ª VT DE FORTALEZA;VT
12ª VT DE FORTALEZA;VT
01ª VT DE CAUCAIA;VT
01ª VT DE SOBRAL;VT
18ª VT DE FORTALEZA;VT
14ª VT DE FORTALEZA;VT
GAB. JUIZ CLAUDIO SOARES PIRES;GAB
SECRETARIA DA 2ª TURMA;OUTROS
SEÇÃO ESPECIALIZADA I;OUTROS
GAB. JUIZ CLÓVIS VALENÇA ALVES FILHO;GAB
SECRETARIA DA 3ª TURMA;OUTROS
SEÇÃO ESPECIALIZADA II;OUTROS
03ª VT DE FORTALEZA;VT
VT DE CRATEUS;VT
VT DE SÃO GONÇALO DO AMARANTE;VT
GAB. JUIZ DURVAL CESAR V MAIA;GAB
SECRETARIA DA 1ª TURMA;OUTROS
03ª VT DA REGIÃO DO CARIRI;VT
GAB. JUIZ EMMANUEL T FURTADO;GAB
01ª VT DA REGIÃO DO CARIRI;VT
GAB. JUIZA FERNANDA UCHOA ALBUQUERQUE;GAB
VICE-PRESIDENCIA;OUTROS
17ª VT DE FORTALEZA;VT
07ª VT DE FORTALEZA;VT
GAB. JUIZ FCO.JOSÉ GOMES DA SILVA;GAB
GAB. JUIZ FCO. TARCISIO LIMA VERDE JUNIOR;GAB
10ª VT DE FORTALEZA;VT
VT DE PACAJUS;VT
02ª VT DE CAUCAIA;VT
VT DE IGUATU;VT
01ª VT DE FORTALEZA;VT
CENTRO JUDICIARIO DE METODOS CONSENSUAIS DE SOLUÇOES DE DISPUTAS DE 2º GRAU;OUTROS
GAB. JUIZ JEFFERSON QUESADO JUNIOR;GAB
05ª VT DE FORTALEZA;VT
GAB. JUIZ JOSÉ ANTÔNIO PARENTE;GAB
15ª VT DE FORTALEZA;VT
VT DE EUSÉBIO;VT
VT DE BATURITE;VT
VT DE TIANGUÁ;VT
02ª VT DE SOBRAL;VT
04ª VT DE FORTALEZA;VT
VT DE QUIXADA;VT
GAB. JUIZA MARIA JOSE GIRÃO;GAB
GAB. JUIZA MARIA ROSELI MENDES ALENCAR;GAB
02ª VT DE MARACANAÚ;VT
DIVISÃO DE EXECUÇÕES UNIFICADAS, LEILÕES E ALIENAÇÕES JUDICIAIS;OUTROS
GAB. JUIZ PAULO REGIS MACHADO BOTELHO;GAB
SECRETARIA DA CORREGEDORIA;OUTROS
GAB. JUIZ PLAUTO CARNEIRO PORTO;GAB
02ª VT DE FORTALEZA;VT
VT DE LIMOEIRO DO NORTE;VT
DIVISÃO DE PRECATÓRIOS, REQUISITÓRIOS E CÁLCULOS JUDICIAIS - SGPRES;OUTROS
PRESIDÊNCIA;OUTROS
VT DE ARACATI;VT
13ª VT DE FORTALEZA;VT
